"run_id","scheduled_order","arm","status","parser_correct","adjudicated_correct","parser_status","reasoning_output_tokens","reasoning_tokens_is_516","input_tokens","cached_input_tokens","output_tokens","wall_ms","ttft_ms","tokens_per_second","final_text_sha256"
"run-0007-control",7,"control","completed",true,true,"resolved",7250,false,11331,9088,7528,165010,16228,45.62147748621296,"9d879c32c31cbf0258769ba90610ec3fda1dab3367a27e58f2699d0ebf15709c"
"run-0033-control",33,"control","completed",false,false,"resolved",516,true,11331,9088,814,22040,20456,36.93284936479129,"37cc98daf07b0af761ff384477010d8fa32b4df8b5f64383d81bc654d13ac51f"
"run-0032-treatment",32,"treatment","completed",false,false,"resolved",516,true,11346,11136,950,22757,21211,41.74539702069693,"1a8df2c2e0f24631e2555ae3102a338ec9f19232fc41e0e39f2749732c9311ac"
"run-0034-treatment",34,"treatment","completed",false,false,"resolved",516,true,11346,9088,730,17825,16295,40.95371669004208,"d21c4c0b1895fde268dc09ff83792a9becfa0643434e4c1701121b378eb1054e"
"run-0018-treatment",18,"treatment","completed",true,true,"resolved",6160,false,11346,9088,6325,117583,117277,53.79178962945324,"c9155626073626525a1e8e41300bb8695e4fc6337083121288cee9f3ca764304"
"run-0036-treatment",36,"treatment","completed",false,false,"resolved",516,true,11346,9088,724,18223,16822,39.73001152389837,"3a4826419dcccb5dab9ad711bcbad943f0e3ebe7166704fc86055450ac89cfed"
"run-0038-control",38,"control","completed",false,false,"resolved",516,true,11331,11136,675,16952,15543,39.81831052383199,"80824d92313b7a5de9dd106f0ac50d0d73925dad7196817e0af8758bb8852f9e"
"run-0039-control",39,"control","completed",false,false,"resolved",516,true,11331,9088,937,21854,20399,42.8754461425826,"301b2cf2c34ae22311224c5ac91bf42a764e7f9138e602353268ff04335648c6"
"run-0025-control",25,"control","completed",true,true,"resolved",4660,false,11331,11136,4885,92243,91917,52.957948028576695,"b6c446522368463bd89ee2d97f33be441d725967604876976dbdf01160381b4c"
"run-0028-control",28,"control","completed",true,true,"resolved",4660,false,11331,9088,4897,92252,14500,53.082859992195296,"3eb53b6b3b86858038c76d2bf4067081430356840daf99183bbe9276a0a43983"
"run-0041-control",41,"control","completed",false,false,"resolved",516,true,11331,9088,974,22610,21005,43.07828394515701,"80b51ad4277a2e77dc3fac246513079dbe3b0397f109fc6ad07b0f640c9c4a17"
"run-0042-treatment",42,"treatment","completed",false,false,"resolved",516,true,11346,9088,728,19995,17127,36.40910227556889,"3bcda86824c44f80a73e09c5d318361881cd5e337bd4ff7f2f5cd7814d60ed04"
"run-0037-treatment",37,"treatment","completed",true,true,"resolved",2588,false,11346,9088,2805,55710,54226,50.350026925148086,"89afe1e753db09eeb5c32f4b4bf01791c8b89887ac99b17152667aea0f5de58a"
"run-0044-control",44,"control","completed",false,false,"resolved",516,true,11331,9088,882,21721,19821,40.60586529165324,"7d97864273d6a1a36524bf7d29ffb753bb6a90edb66fea48d874fa8ea0305792"
"run-0046-control",46,"control","completed",false,false,"resolved",516,true,11331,9088,716,17787,16329,40.2541181761961,"953b2489994f7636478eb6b0ac2da7a23cd2db714ea3d775ec348381e7b39a23"
"run-0045-treatment",45,"treatment","completed",false,false,"resolved",516,true,11346,11136,715,21454,19895,33.327118486063206,"9cc7cf6dd2454c1d9e029d92ab82d08a3b6d696d6fd333afd5e3fa2ed91bb411"
"run-0047-treatment",47,"treatment","completed",false,false,"resolved",516,true,11346,11136,745,18242,16687,40.83982019515404,"002b605d085127e84f6af6a64e78b583357464a4d8fe0f79d964fbfb5440e620"
"run-0035-control",35,"control","completed",true,true,"resolved",4142,false,11331,9088,4374,82786,82469,52.83502041407967,"ec2f63135fe6b54573ef0b1f14da36faca55ad8f327d12c3bc6b2e760214045a"
"run-0048-control",48,"control","completed",false,false,"resolved",516,true,11331,9088,704,18260,16843,38.554216867469876,"8c10443ab8928985907ca85cc6133c526166a55283fc97f59f09fd80eed39101"
"run-0050-control",50,"control","completed",false,false,"resolved",516,true,11331,9088,917,21664,20181,42.32828655834564,"59c46c4795f62cbd6c08c469e61d0d5b1589b999ebd8688c2bec27bcdb5797d6"
"run-0049-treatment",49,"treatment","completed",false,false,"resolved",1034,false,11346,9088,1168,26306,24828,44.400516992321144,"422ee6a73b3350eb12800965db284836df50b7edd2792d648c91792262a1e895"
"run-0051-control",51,"control","completed",false,false,"resolved",516,true,11331,9088,799,19527,18045,40.91770369232345,"6c4f73d743107e29326c249b1a28879c6e9b38fc0bdd853d04824dce6d61c926"
"run-0052-treatment",52,"treatment","completed",false,false,"resolved",516,true,11346,9088,670,17041,15533,39.316941494043775,"4b8245bdb5f6bcbe002297a0df812a6afea1f9a9c987e3cd6e81daaf0e680dfe"
"run-0053-treatment",53,"treatment","completed",false,false,"resolved",516,true,11346,9088,806,20426,19034,39.45951238617449,"0e47f1a8cbd200a43fde93a4fe51231b69b5826e6d11e863d878b2a41796a456"
"run-0008-treatment",8,"treatment","completed",true,true,"resolved",8797,false,11346,9088,8988,272692,272070,32.96026286066331,"6abda5716d22128f81d0acffeda0a8a7330cd794f4fbb4992a29990fe00f710b"
"run-0054-control",54,"control","completed",false,false,"resolved",516,true,11331,10624,793,21042,19478,37.68653169850774,"751d59a69144c69a7c69c1e103eb4788099f433454f8f2839118f8c0b7af9b0a"
"run-0055-control",55,"control","completed",false,false,"resolved",516,true,11331,9088,755,20193,18805,37.389194275243895,"9f21dc6ba55135db8fe5128c48981516e06baa7986eebbcf6e3154b2879d8929"
"run-0057-treatment",57,"treatment","completed",false,false,"resolved",516,true,11346,9088,872,21771,20345,40.05328188875109,"c5574923b63806e290d736ddd3d5a7be82de696618c63cbe42c9e402b1db450a"
"run-0061-treatment",61,"treatment","completed",false,false,"resolved",516,true,11346,9088,766,18719,17344,40.92098936909023,"2cea2ac31fb2757693eb1370ba03db487d6f6dcb68f2fd0a32752cd8e6fa0747"
"run-0043-treatment",43,"treatment","completed",true,true,"resolved",7768,false,11346,9088,7914,146582,146299,53.99025801257999,"280d4043caca7265cc59c5e104a03d06d216e7fbe2b5eed1ddd454d85ca5cf4e"
"run-0059-treatment",59,"treatment","completed",true,true,"resolved",3624,false,11346,9088,3804,72500,72188,52.46896551724138,"406c964d996fa02bd4c0c10a81f50c183cee7374540b5b32e871111668b14f04"
"run-0063-treatment",63,"treatment","completed",true,true,"resolved",2070,false,11346,9088,2302,46446,45009,49.56293329888473,"a444299a5ff95fb03383e149a4981d8d4b8ea02916d6a4b09c354949a9cf4942"
"run-0060-control",60,"control","completed",true,true,"resolved",3624,false,11331,11136,3839,73538,73204,52.204302537463626,"8e2c8402ea03116fa2115ff5a1d0ec1c3dc62fa5c79f96d6289833363666b320"
"run-0064-control",64,"control","completed",false,false,"resolved",516,true,11331,9088,852,21209,19777,40.17162525343015,"4849b82b4a67646d34ff92065ff155b1fcebc8c1ccdd18d48c1dead4e13b41da"
"run-0066-control",66,"control","completed",false,false,"resolved",516,true,11331,9088,815,24171,22523,33.71809192834388,"06f8249fdb9713878c25448633e73ad37fe303fc0ed680304dd941ad3edcfe48"
"run-0040-treatment",40,"treatment","completed",true,true,"resolved",9840,false,11346,11136,10018,187047,185464,53.55873122798013,"8ccbe000006bab453cf3554a37e39fc95c58ca7fe9ed67764dd1b1d4fe7f3e6a"
"run-0062-control",62,"control","completed",true,true,"ambiguous",5178,false,11331,9088,5429,103527,103220,52.44042616901871,"ded345fd5d444a5d409585eb90d8e844b1014bb283f60457e8d8e0b7a1b9277f"
"run-0069-control",69,"control","completed",false,false,"resolved",516,true,11331,11136,751,20287,18869,37.01878049982748,"7e9223498edb3d2bc74faffe7787b5c278550f751322f478b5c4377650888213"
"run-0070-treatment",70,"treatment","completed",false,false,"resolved",516,true,11346,11136,672,21925,20468,30.64994298745724,"fecda3f23aac2d54788480f456740c7898d999eea3e5fd5bbaca997a860af724"
